38	1	2	1
28	1	2	1
30	2	2	10
46	2	2	1
42	2	2	1
38	1	2	8
32	2	2	1
41	1	2	1
46	1	2	6
54	1	1	1
18	1	2	8
45	2	1	1
54	1	2	1
27	2	3	1
15	1	2	1
47	2	3	1
54	2	1	10
31	1	2	4
35	1	1	1
28	1	2	1
35	2	3	1
36	1	2	1
26	2	2	1
52	2	1	1
18	1	3	3
35	1	2	1
30	2	2	2
41	2	1	2
47	2	1	2
43	2	2	2
29	2	1	2
46	2	2	2
17	1	2	2
28	1	2	2
50	1	1	2
37	1	1	2
52	2	1	2
33	2	1	2
35	1	2	3
43	2	2	2
35	1	2	1
37	2	1	2
22	1	2	2
43	1	1	2
19	1	2	2
45	2	1	3
16	1	2	3
32	1	2	3
32	1	2	3
43	1	3	3
15	1	2	3
41	2	2	3
57	1	1	3
28	1	2	3
46	1	1	3
44	1	1	3
29	2	3	7
17	1	2	3
25	1	2	3
41	2	2	3
23	1	1	10
16	1	2	3
43	1	2	3
53	1	1	3
29	1	2	3
54	2	1	3
41	1	2	4
35	2	2	4
25	1	2	6
32	2	2	4
38	2	2	4
42	1	2	4
32	1	2	1
25	1	2	4
42	2	1	4
33	1	2	4
17	2	2	4
18	1	2	11
47	1	1	4
47	2	1	4
29	2	1	2
48	1	2	4
45	1	1	4
49	1	1	4
53	1	1	4
47	1	2	4
35	1	2	4
21	1	2	4
45	1	1	4
31	1	2	11
32	1	1	5
44	1	2	5
28	1	1	5
29	2	1	5
44	1	2	5
30	1	2	5
34	1	1	5
19	2	2	9
57	1	1	5
19	2	2	5
23	1	2	5
48	2	1	5
46	2	1	5
48	2	1	5
24	2	2	6
55	2	1	5
34	2	2	6
50	1	1	5
51	2	1	5
31	1	2	5
31	2	2	5
17	2	2	5
17	2	2	6
42	1	3	6
18	1	1	6
42	1	2	6
19	1	2	6
25	2	2	6
51	1	2	6
33	1	2	6
52	2	1	6
29	1	2	6
21	1	2	6
33	2	1	6
39	2	1	6
16	1	2	6
32	1	2	6
23	2	1	6
36	2	2	6
19	1	2	2
48	1	1	6
20	2	2	6
19	1	2	6
30	2	1	7
52	1	1	7
22	1	2	7
41	1	2	7
29	1	1	7
41	1	3	7
24	2	2	1
52	2	1	7
35	2	2	7
53	1	1	4
40	1	1	7
21	2	1	7
40	1	2	7
15	1	3	7
21	1	2	7
36	2	1	7
16	1	3	7
55	1	2	7
59	2	1	7
37	2	2	7
29	2	1	8
48	2	1	8
17	1	3	8
28	2	1	8
28	2	2	8
34	2	3	8
25	1	2	8
17	1	2	8
35	2	1	8
22	2	1	8
17	2	1	8
44	1	1	6
20	2	2	8
47	2	1	8
33	2	2	8
27	1	2	8
45	1	2	8
16	2	2	8
22	2	2	8
44	2	1	9
31	2	1	4
30	1	2	9
32	2	1	9
43	1	1	9
51	1	1	9
38	1	2	9
40	2	3	9
32	2	1	9
27	1	2	9
39	2	1	9
28	2	1	9
31	2	2	2
39	1	2	9
27	2	1	9
15	1	2	9
51	1	1	9
36	2	1	9
42	1	3	9
15	1	2	9
24	1	2	10
54	1	1	10
38	2	2	2
35	2	3	10
49	2	1	10
37	2	1	10
21	2	2	1
43	2	1	10
40	1	2	10
27	2	1	10
40	2	1	10
26	1	2	11
34	1	2	10
45	2	1	10
41	2	1	10
45	1	1	10
26	1	2	10
26	2	2	11
19	1	2	11
20	2	1	11
38	1	2	11
48	1	2	11
27	2	2	11
24	1	2	10
49	1	1	11
32	1	2	11
27	1	2	11
54	2	1	11
45	2	1	11
37	1	3	11
19	1	2	11
37	1	3	11
22	1	1	11
30	2	2	11
47	2	2	11
45	2	1	11
51	2	3	11
47	2	1	11
38	1	3	12
54	1	1	12
51	1	1	12
57	1	1	12
15	2	2	12
36	2	1	12
23	2	2	12
29	1	2	11
40	1	1	12
23	1	2	12
40	1	1	12
15	1	2	2
56	1	1	12
30	2	2	12
37	2	1	12
46	2	1	1
32	2	1	12
40	2	2	12
50	1	1	12
55	2	1	12
